oldname,species,island,site.lot,oldID,FinalNames,scannedby
eos,eos,SC,MCZ 338378,CEPeos@@@8X1105(49-53) copy 9.jpeg,CEPeos - 8X1105(49-53) copy 9.jpeg,CEP
eschariferus ventrosus,ventrosus,SF,SF04-1,CEPeschariferus ventrosus@@@8X1105(1-12) copy 1.jpeg,CEPeschariferus ventrosus - 8X1105(1-12) copy 1.jpeg,CEP
eschariferus ventrosus,ventrosus,SF,SF04-2,CEPeschariferus ventrosus@@@8X1105(1-12) copy 10.jpeg,CEPeschariferus ventrosus - 8X1105(1-12) copy 10.jpeg,CEP
eschariferus ventrosus,ventrosus,SF,SF04-2,CEPeschariferus ventrosus@@@8X1105(1-12) copy 12.jpeg,CEPeschariferus ventrosus - 8X1105(1-12) copy 12.jpeg,CEP
eschariferus ventrosus,ventrosus,SF,SF04-1,CEPeschariferus ventrosus@@@8X1105(1-12) copy 2.jpeg,CEPeschariferus ventrosus - 8X1105(1-12) copy 2.jpeg,CEP
eschariferus ventrosus,ventrosus,SF,SF04-1,CEPeschariferus ventrosus@@@8X1105(1-12) copy 3.jpeg,CEPeschariferus ventrosus - 8X1105(1-12) copy 3.jpeg,CEP
eschariferus ventrosus,ventrosus,SF,SF04-1,CEPeschariferus ventrosus@@@8X1105(1-12) copy 4.jpeg,CEPeschariferus ventrosus - 8X1105(1-12) copy 4.jpeg,CEP
eschariferus ventrosus,ventrosus,SF,SF04-1,CEPeschariferus ventrosus@@@8X1105(1-12) copy 5.jpeg,CEPeschariferus ventrosus - 8X1105(1-12) copy 5.jpeg,CEP
eschariferus ventrosus,ventrosus,SF,SF04-1,CEPeschariferus ventrosus@@@8X1105(1-12) copy 6.jpeg,CEPeschariferus ventrosus - 8X1105(1-12) copy 6.jpeg,CEP
eschariferus ventrosus,ventrosus,SF,SF04-2,CEPeschariferus ventrosus@@@8X1105(1-12) copy 7.jpeg,CEPeschariferus ventrosus - 8X1105(1-12) copy 7.jpeg,CEP
